Price,Volume,50_MA,200_MA,RSI
4547.09423828125,293384,4676.138564453125,4030.579979248047,34.409637918294095
4563.3623046875,283469,4676.516611328125,4035.2545141601563,40.95106168803345
4626.9453125,320941,4679.698603515625,4040.392783203125,51.67829206975013
4637.31103515625,370694,4683.94646484375,4045.6548266601562,50.99869214729866
4576.6044921875,479472,4685.73568359375,4050.598660888672,47.49064912212269
4630.814453125,456071,4688.837216796875,4055.821484375,57.36111531702182
4599.76611328125,328037,4692.050234375,4060.705471191406,52.10797491721443
4663.69677734375,353620,4696.339736328125,4065.989479980469,59.46751568844592
4646.0400390625,224928,4700.57833984375,4071.441708984375,52.626716813259755
4679.17138671875,319934,4705.264931640625,4077.3541174316406,60.47831390593254
4721.17919921875,209769,4708.900380859375,4083.5412915039065,64.22410423943579
4767.65185546875,151600,4711.1788671875,4089.96275390625,66.12311360841528
4781.7373046875,305478,4715.344013671875,4096.508784179688,64.97134663882012
4769.53662109375,207142,4718.972529296875,4102.934617919922,67.27761238492255
4805.44482421875,249498,4718.068876953125,4109.443262939453,75.7539236740503
5089.13916015625,1689829,4722.29056640625,4117.194964599609,84.18568621163682
5134.9169921875,804973,4729.0883203125,4125.255441894531,83.81084858136435
5141.16650390625,622924,4734.742373046875,4132.911158447266,83.7216506973765
5044.20458984375,640829,4738.0663671875,4140.289481201172,79.84673412409748
4960.732421875,498375,4740.49859375,4147.482644042969,70.3002043023675
4965.09765625,539731,4743.25619140625,4154.694987792969,73.24244681597935
5028.33349609375,450923,4747.41439453125,4162.055555419922,73.21876962683365
4992.37548828125,257406,4751.37818359375,4169.525803222657,71.55111384160655
4966.23828125,580065,4754.2746484375,4176.858145751953,68.01991311154934
5022.8779296875,248079,4759.036953125,4184.566085205078,68.59677604795898
4976.0087890625,464531,4761.968134765625,4192.13689086914,62.83689266063602
4878.947265625,256544,4763.077119140625,4199.029890136719,55.43356986899563
4970.65185546875,657876,4765.622431640625,4206.307781982422,60.32381804109034
4974.17333984375,279352,4768.908720703125,4213.760889892578,58.95920966390389
4966.93212890625,244083,4771.62365234375,4221.513220214843,40.81419930706441
4996.888671875,307502,4775.32357421875,4229.029614257813,39.37220189515443
5023.57177734375,575680,4778.733857421875,4236.757144775391,41.22175356438343
5065.431640625,472168,4782.209609375,4244.706246337891,51.72660310409661
5011.66845703125,387366,4784.757890625,4252.435620117188,54.35353271461756
5035.77294921875,158560,4789.61044921875,4260.569692382813,55.84348473434375
5099.80224609375,318565,4795.858671875,4268.973861083984,55.90134534933604
5095.93408203125,360985,4804.29708984375,4277.17220703125,59.0296013978154
5438.40087890625,2838352,4820.41609375,4287.102615966797,76.53287397372586
5445.04638671875,763919,4837.0637890625,4297.153117675782,75.13581055191152
5361.82275390625,451167,4851.72166015625,4306.560113525391,72.01809271849449
5304.19091796875,620266,4865.821064453125,4315.881553955078,75.41196374100485
5216.95068359375,746266,4878.920615234375,4324.633248291016,64.79742645290064
5330.2294921875,843465,4893.935576171875,4334.18642578125,68.89909345889828
5266.1005859375,360967,4907.98736328125,4343.090267333984,64.97518950661068
5271.208984375,400987,4921.005546875,4351.918107910156,64.0816856475127
5301.26513671875,619765,4935.46404296875,4360.999697265625,64.20564053222068
5275.5244140625,304362,4949.50095703125,4370.176602783203,60.927691884143655
5325.6669921875,448715,4964.19255859375,4379.778192138672,66.39395625042383
5363.26123046875,394137,4978.9942578125,4389.412550048828,66.86075801714091
5375.3134765625,202689,4994.644072265625,4398.938732910156,64.98682321218267
5354.0859375,202145,5010.78390625,4408.46537475586,63.78224729657373
5375.2138671875,232773,5027.0209375,4417.9831188964845,44.86450405459998
5348.58056640625,149325,5041.453642578125,4427.353499755859,42.406496615321224
5381.46337890625,93497,5056.336689453125,4437.051678466797,51.67912877662044
5492.064453125,640468,5074.645888671875,4447.318262939453,64.7279032647015
5506.14990234375,324712,5092.15259765625,4457.410799560547,75.6082544118766
5586.10009765625,531539,5111.87927734375,4467.600144042969,74.0782435049032
5604.599609375,679425,5130.697333984375,4477.733280029297,84.84635846541431
5640.111328125,746193,5150.578759765625,4486.988359375,85.73904619180612
5705.18212890625,497403,5171.098974609375,4497.028865966797,86.64509601362282
5877.48193359375,1118718,5194.225029296875,4508.041076660156,93.13999329529334
5882.4912109375,297211,5216.52181640625,4519.111779785157,92.6655213130063
5949.79443359375,380535,5239.882958984375,4530.618137207031,92.98490328915634
6021.015625,406974,5264.9125390625,4542.182947998047,93.54473945559774
6041.44921875,501833,5289.632626953125,4553.866529541016,96.40396621857714
5997.30810546875,439023,5307.796005859375,4565.183348388672,90.73200331726069
6151.70361328125,359158,5328.13173828125,4577.268052978516,95.04814312899116
6090.60009765625,565826,5347.12041015625,4589.213510742187,88.55571378054725
6021.015625,699201,5366.656630859375,4600.878903808593,80.10161210008714
6044.47509765625,427407,5388.331484375,4612.41206665039,80.31167003007825
6026.71923828125,233266,5409.563916015625,4623.892062988281,76.67867380630268
6088.91357421875,175955,5430.775517578125,4635.542025146485,77.85065785816052
6203.7802734375,810900,5455.00361328125,4647.760545654297,79.70309105187158
6265.18115234375,373989,5480.982470703125,4660.345264892578,79.62428178659363
6283.77978515625,419212,5506.2005078125,4672.977257080078,75.66736544419672
6224.61083984375,553522,5531.172548828125,4685.634396972656,70.22874448925856
6413.5751953125,851061,5561.865107421875,4699.219034423828,73.97323684368607
6367.25146484375,377109,5589.797099609375,4712.614403076172,68.37007135170312
6313.1416015625,385863,5616.57646484375,4725.652357177734,63.91770627708248
6195.99365234375,397717,5641.1576953125,4739.115668945313,59.46956580020331
