Price,Volume,50_MA,200_MA,RSI,Target
3561.032470703125,29986,,,,-0.01760909047716952
3517.046630859375,351456,,,,-0.004912319136504695
3486.439208984375,333703,,,,-0.001476913725788176
3533.02392578125,500485,,,,-0.020145991373526018
3534.130859375,314769,,,,-0.009559195346716565
3592.698486328125,514106,,,,-0.02160632190410605
3596.644775390625,317571,,,,-0.03144403315888822
3631.96826171875,637882,,,,-0.059334823912707724
3629.658447265625,230932,,,,-0.037482475544459604
3628.455322265625,272013,,,,-0.04144729232702693
3599.29150390625,249436,,,,-0.034362367051132714
3584.90234375,291055,,,,-0.03322507314202905
3587.837646484375,268871,,,,-0.04985709165683794
3586.249755859375,200313,,,54.64045357749365,-0.046645175709440934
3622.96875,296104,,,60.04055944166652,-0.0460130541898478
3606.89501953125,329588,,,66.01471014435992,-0.0428556769457803
3555.59423828125,185433,,,61.47947377251547,-0.033931935219271625
3496.689697265625,327528,,,44.205649321575265,-0.004651860670956909
3483.744384765625,226673,,,42.25704670540963,-0.012584606645106855
3483.359375,322261,,,29.538861055245846,-0.004807875613968227
3472.53125,340707,,,27.35725605231488,-0.015244572920510069
3484.369873046875,397640,,,20.549146379603144,0.0002762055633629412
3503.7158203125,224797,,,26.469909402986573,0.0005494306407398675
3538.798828125,185431,,,35.1316050512371,-0.015217469292690078
3522.821533203125,134922,,,36.73840937631517,-0.023469319088973206
3610.023193359375,1267676,,,53.478125952812825,-0.0566960546519818
3568.5400390625,514227,,,47.585831961467626,-0.03703206050049468
3522.099853515625,349992,,,42.78446599808873,-0.01477043564418612
3522.62890625,163476,,,37.71358156965489,-0.020970513743176045
3556.219970703125,251515,,,44.05018182110042,-0.02377663146183473
3498.325927734375,167024,,,43.378574981242615,-0.006809409327550142
3499.769775390625,141912,,,50.41069205648123,-0.016555985790638994
3481.2900390625,166035,,,49.67750172749746,-0.012220320625800696
3461.84765625,171844,,,47.30819614437102,0.007451200756460219
3500.347412109375,126272,,,53.2552578120759,0.013679724731564313
3515.073486328125,132320,,,53.569048756925994,0.017894057130212193
3483.5517578125,161541,,,47.72061153140066,0.08771039514100454
3416.466064453125,228381,,,37.104288301865815,0.08213596763434206
3493.60986328125,238078,,,47.272395689668926,0.051931938236006614
3478.065673828125,152284,,,35.775065716544574,0.05470998248861081
3475.611328125,149348,,,39.06195760372053,0.049749987777554905
3465.793701171875,158182,,,42.7472926957819,0.06990022676280061
3408.95849609375,122024,,,37.21308720039899,0.0867638647995923
3418.968505859375,140091,,,33.69541763341067,0.092125981721775
3456.264892578125,115917,,,44.746321125716015,0.08057767890777479
3452.319091796875,229748,,,44.10993526801949,0.07218030735255732
3434.946044921875,748244,,,44.23145998989879,0.07365209336283152
3480.423583984375,287867,,,52.17144876074994,0.07396195868142219
3439.90283203125,471328,,,42.967507733210624,0.08454225391597725
3466.61181640625,218996,3518.97056640625,,44.51462323147523,0.08432133208237458
3419.593994140625,250071,3516.141796875,,43.005971212380906,0.09956801255288816
3485.332275390625,294998,3515.507509765625,,57.55304450275799,0.07543184078981668
3505.640869140625,173591,3515.89154296875,,51.50746128945618,0.07181011629903122
3484.947265625,200031,3514.930009765625,,50.85126495308333,0.05975286850309902
3440.143310546875,247609,3513.0502587890624,,46.02864095690735,0.07456212470708778
3405.34912109375,308958,3509.303271484375,,43.59051095003892,0.08305421947174962
3436.3896484375,182941,3506.0981689453124,,53.07710762071482,0.07832672087546455
3470.076904296875,180876,3502.860341796875,,55.44393531978634,0.009583186611821892
3448.757568359375,226147,3499.24232421875,,49.17216225296784,0.021782569880698155
3471.6650390625,106465,3496.1065185546877,,52.0476610083647,0.034572086802054036
3474.50439453125,306275,3493.6107763671876,,54.319939639060784,0.02918363890983211
3441.82763671875,226186,3490.7492822265626,,45.66393099547821,0.04363881096852085
3438.74755859375,191361,3487.76748046875,,49.85828907112858,0.04206846804888276
3487.642578125,173482,3485.7953369140623,,52.44656256567848,0.051786147295725504
3548.231201171875,212778,3484.3005859375,,64.50665618240848,0.03445000208139026
3577.972412109375,375571,3483.7221337890624,,61.370348529196725,0.02811098317170324
3789.095458984375,2375899,3488.392158203125,,73.69267174600479,-0.04021086156789233
3697.080810546875,654472,3492.39998046875,,65.84241293591299,-0.022974867404557897
3675.039794921875,359118,3496.225888671875,,68.15980026288352,-0.02311265894960346
3668.3505859375,328212,3499.925712890625,,71.25630040521492,-0.0029124364316707174
3648.52294921875,309024,3503.445546875,,67.4615238686257,0.006252195645846115
3708.053466796875,242350,3507.91921875,,68.78938582592168,-0.01234255280106833
3704.73291015625,205412,3511.939560546875,,70.80169687167557,0.014704651579950934
3733.9443359375,246673,3515.842470703125,,71.09782135658142,0.011470661234729285
3734.7626953125,309039,3520.0812939453126,,71.00354256396514,-0.004471358491286326
3701.508544921875,249061,3521.9110009765627,,70.93743294981448,-0.004641530298794105
3687.93701171875,170034,3524.2989404296877,,69.7572789975254,-0.006289641256763123
3737.842529296875,372862,3528.6137939453124,,69.80566151576983,-0.023664153897894113
3730.719970703125,251160,3532.775615234375,,65.78154624417805,0.0008255988520144975
3758.921142578125,214072,3536.829638671875,,65.69015725595098,-0.005287551275315661
3760.076171875,166844,3542.0646435546873,,46.04278847530351,0.02230835219324745
3748.2373046875,167844,3547.033994140625,,58.92822294544392,0.03308684160132569
3757.38134765625,169828,3552.5558203125,,65.04831670127527,0.033249656892806234
3693.182861328125,177954,3557.1825244140623,,53.7499677403894,0.05850775390706464
3696.647705078125,477992,3561.1085302734373,,57.64523182871367,0.08766632880865122
